uid,time,name,target,info,state,version
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":585,""pageY"":692,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":585,""pageY"":692,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":585,""pageY"":692,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":585,""pageY"":692,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":585,""pageY"":692,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":585,""pageY"":692,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,select#recurrent-event-type-selector.ct,"{""which"":1,""pageX"":643,""pageY"":536,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[38,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,select#recurrent-event-type-selector.ct,"{""which"":1,""pageX"":643,""pageY"":536,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[38,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,select#recurrent-event-type-selector.ct,"{""which"":0,""pageX"":592,""pageY"":526,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[41,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":642,""pageY"":683,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":642,""pageY"":683,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":642,""pageY"":683,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":642,""pageY"":683,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":642,""pageY"":683,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":642,""pageY"":683,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-name.title.col-md-12.form-control,"{""which"":66,""target"":{""jQuery310049792599021706231"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}],""change"":[{""type"":""change"",""origType"":""change"",""guid"":229,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-name.title.col-md-12.form-control,"{""which"":78,""target"":{""jQuery310049792599021706231"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}],""change"":[{""type"":""change"",""origType"":""change"",""guid"":229,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,input#event-location.col-md-12.form-control,"{""which"":1,""pageX"":515,""pageY"":294,""target"":{""jQuery310049792599021706231"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,input#event-location.col-md-12.form-control,"{""which"":1,""pageX"":515,""pageY"":294,""target"":{""jQuery310049792599021706231"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":71,""target"":{""jQuery310049792599021706231"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":74,""target"":{""jQuery310049792599021706231"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":70,""target"":{""jQuery310049792599021706231"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":72,""target"":{""jQuery310049792599021706231"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,select#recurrent-event-type-selector.ct,"{""which"":1,""pageX"":634,""pageY"":464,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""6"":{},""jQuery310049792599021706231"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,select#recurrent-event-type-selector.ct,"{""which"":1,""pageX"":634,""pageY"":464,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""6"":{},""jQuery310049792599021706231"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,select#recurrent-event-type-selector.ct,"{""which"":0,""pageX"":592,""pageY"":444,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""6"":{},""jQuery310049792599021706231"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884249251"":{""undefined"":{""parentNode"":[7,3,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,td.xdsoft_date.xdsoft_day_of_week3 div,"{""which"":1,""pageX"":724,""pageY"":606,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,td.xdsoft_date.xdsoft_day_of_week3 div,"{""which"":1,""pageX"":724,""pageY"":606,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":577,""pageY"":615,""target"":{""jQuery310049792599021706231"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":577,""pageY"":615,""target"":{""jQuery310049792599021706231"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
